,area_type,availability,location,size,total_sqft,bath,balcony,price
11473,Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,893.0,2.0,2.0,34.5
11474,Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,41.49
11475,Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,3200.0,7.0,0.0,150.0
11476,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1190.0,2.0,1.0,42.0
11477,Built-up  Area,Ready To Move,Ashwathnagar,3 Bedroom,800.0,2.0,0.0,60.0
11478,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1814.0,3.0,3.0,63.0
11479,Built-up  Area,Ready To Move,Rahmath Nagar,3 BHK,1400.0,3.0,2.0,98.0
11480,Plot  Area,Ready To Move,Bommasandra,5 Bedroom,1400.0,6.0,3.0,252.0
11481,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,1344.0,2.0,0.0,56.0
11482,Plot  Area,Ready To Move,Whitefield,4 Bedroom,5400.0,5.0,3.0,475.0
11483,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843.0,3.0,2.0,95.0
11484,Super built-up  Area,18-Feb,Chikkadunnasandra,2 BHK,1138.0,2.0,1.0,32.0
11485,Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,1495.0,2.0,2.0,70.0
11486,Super built-up  Area,Ready To Move,Electronic City,2 BHK,880.0,2.0,1.0,19.0
11487,Super built-up  Area,18-Apr,Whitefield,3 BHK,1396.0,3.0,1.0,74.0
11488,Built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1610.0,2.0,3.0,119.0
11489,Super built-up  Area,Ready To Move,Tindlu,2 BHK,1050.0,2.0,2.0,55.0
11490,Built-up  Area,14-Jul,Kumbena Agrahara,3 BHK,1410.0,2.0,2.0,43.71
11491,Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1050.0,2.0,2.0,37.8
11492,Built-up  Area,Ready To Move,Kumaraswami Layout,3 BHK,1310.0,2.0,1.0,85.0
11493,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1104.0,2.0,2.0,58.0
11494,Super built-up  Area,19-Mar,Hennur Road,2 BHK,1165.0,2.0,1.0,67.0
11495,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1310.0,2.0,3.0,60.0
11496,Built-up  Area,Ready To Move,Chikkanahalli,2 BHK,1052.0,2.0,2.0,52.0
11497,Super built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1000.0,2.0,2.0,45.0
11498,Super built-up  Area,18-May,Jayanagar,3 BHK,2240.0,3.0,2.0,300.0
11499,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1150.0,2.0,1.0,38.08
11500,Super built-up  Area,19-Dec,Thanisandra,3 BHK,2019.0,3.0,1.0,70.67
11501,Super built-up  Area,Ready To Move,Varthur,2 BHK,986.0,2.0,1.0,31.0
11502,Plot  Area,Ready To Move,Banashankari Stage III,1 Bedroom,1350.0,1.0,1.0,145.0
11503,Built-up  Area,Ready To Move,9th Phase JP Nagar,8 BHK,800.0,8.0,0.0,140.0
11504,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1893.0,4.0,2.0,95.0
11505,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1318.0,3.0,2.0,56.0
11506,Built-up  Area,Ready To Move,Yelahanka,3 BHK,1325.0,2.0,2.0,58.0
11507,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,800.0,2.0,1.0,33.0
11508,Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,1300.0,3.0,2.0,42.25
11509,Built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,1300.0,2.0,2.0,60.0
11510,Built-up  Area,Ready To Move,Ulsoor,4 Bedroom,2500.0,4.0,0.0,170.0
11511,Plot  Area,Ready To Move,Halanayakanahalli,3 Bedroom,1520.0,3.0,1.0,165.0
11512,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1665.0,3.0,0.0,85.0
11513,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1800.0,3.0,0.0,80.0
11514,Super built-up  Area,Ready To Move,Harlur,2 BHK,1197.0,2.0,1.0,75.0
11515,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1050.0,2.0,2.0,45.0
11516,Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,910.0,4.0,2.0,194.0
11517,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1241.0,2.0,1.0,68.0
11518,Super built-up  Area,Ready To Move,Maithri Layout,3 BHK,1567.0,2.0,3.0,62.0
11519,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1747.0,3.0,1.0,110.0
11520,Super built-up  Area,18-Jun,Ramagondanahalli,3 BHK,1475.0,2.0,2.0,55.0
11521,Plot  Area,Ready To Move,Park View Layout,4 Bedroom,600.0,4.0,1.0,70.0
11522,Plot  Area,Ready To Move,Xavier Layout,3 Bedroom,1524.0,4.0,2.0,400.0
11523,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,980.0,2.0,1.0,51.0
11524,Super built-up  Area,18-Apr,Dasanapura,2 BHK,966.0,2.0,1.0,58.0
11525,Super built-up  Area,Ready To Move,Ferrar Nagar,4 BHK,2360.0,3.0,2.0,185.0
11526,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,1112.0,2.0,1.0,62.0
11527,Super built-up  Area,Ready To Move,Electronic City,2 BHK,550.0,1.0,1.0,16.0
11528,Built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1760.0,3.0,3.0,90.0
11529,Super built-up  Area,Ready To Move,Hennur,3 BHK,1830.0,2.0,3.0,113.0
11530,Super built-up  Area,19-Mar,Yelahanka,2 BHK,1175.0,2.0,1.0,67.77
11531,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1175.0,2.0,1.0,41.0
11532,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1025.0,2.0,2.0,45.0
11533,Super built-up  Area,18-Aug,Hennur Road,2 BHK,1232.0,2.0,1.0,80.0
11534,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1010.0,2.0,2.0,57.0
11535,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1273.0,2.0,2.0,60.0
11536,Super built-up  Area,17-Aug,Battarahalli,2 BHK,1590.0,2.0,2.0,102.0
11537,Super built-up  Area,Ready To Move,Air View Colony,2 BHK,1100.0,2.0,1.0,58.5
11538,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1252.0,2.0,1.0,65.0
11539,Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2615.0,5.0,3.0,222.0
11540,Plot  Area,Ready To Move,Arishinakunte,5 Bedroom,1200.0,6.0,0.0,140.0
11541,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1322.0,2.0,1.0,77.9
11542,Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,1.0,60.0
11543,Super built-up  Area,Ready To Move,Harlur,3 BHK,1755.0,3.0,2.0,117.0
11544,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1135.0,2.0,2.0,46.0
11545,Plot  Area,Ready To Move,Rajaji Nagar,8 Bedroom,1200.0,10.0,2.0,180.0
11546,Plot  Area,Ready To Move,Electronic City,4 Bedroom,1200.0,4.0,1.0,125.0
11547,Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,1260.0,2.0,2.0,85.5
11548,Plot  Area,Ready To Move,Hoodi,5 Bedroom,3250.0,5.0,2.0,395.0
11549,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,3500.0,4.0,2.0,550.0
11550,Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,1200.0,6.0,2.0,110.0
11551,Super built-up  Area,20-Dec,Kanakpura Road,3 BHK,1100.0,2.0,1.0,53.0
11552,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1305.0,3.0,1.0,65.0
11553,Built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,1236.0,2.0,1.0,50.0
11554,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125.0,1.0,2.0,45.0
11555,Built-up  Area,18-May,KR Puram,2 BHK,1075.0,2.0,2.0,32.25
11556,Plot  Area,Ready To Move,Kadugondanahalli,8 Bedroom,772.0,5.0,1.0,60.0
11557,Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,2999.97,6.0,0.0,110.0
11558,Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1150.0,2.0,2.0,42.0
11559,Plot  Area,Ready To Move,9th Block Jayanagar,4 Bedroom,1440.0,4.0,1.0,240.0
11560,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1085.0,2.0,1.0,43.4
11561,Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1785.0,3.0,0.0,165.0
11562,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1930.0,4.0,2.0,120.0
11563,Super built-up  Area,Ready To Move,4th Phase JP Nagar,2 BHK,600.0,4.0,1.0,70.0
11564,Plot  Area,Ready To Move,Kadugondanahalli,2 Bedroom,800.0,1.0,0.0,45.0
11565,Built-up  Area,Ready To Move,Kumaraswami Layout,4 BHK,2450.0,3.0,2.0,110.0
11566,Plot  Area,17-Dec,akshaya nagar t c palya,4 Bedroom,1200.0,4.0,0.0,120.0
11567,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1920.0,3.0,3.0,122.0
11568,Super built-up  Area,18-Apr,Kothannur,2 BHK,1085.0,2.0,2.0,34.2
11569,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760.0,1.0,2.0,50.4
11570,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1201.0,2.0,3.0,80.0
11571,Super built-up  Area,18-Jul,Electronic City,3 BHK,1615.0,3.0,2.0,97.0
11572,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1289.0,2.0,0.0,70.0
11573,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1377.0,2.0,2.0,80.0
11574,Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,2880.0,3.0,2.0,560.0
11575,Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,1892.0,3.0,2.0,200.0
11576,Built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,2176.0,3.0,3.0,348.0
11577,Super built-up  Area,21-Dec,Thanisandra,1 BHK,663.0,1.0,0.0,32.82
11578,Built-up  Area,18-Dec,Electronic City,2 BHK,1165.0,2.0,1.0,33.65
11579,Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,3554.0,4.0,1.0,340.0
11580,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1260.0,2.0,1.0,45.5
11581,Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,1095.0,2.0,1.0,39.0
11582,Super built-up  Area,Ready To Move,KR Garden,2 BHK,1050.0,2.0,2.0,65.0
11583,Super built-up  Area,Ready To Move,Seegehalli,2 BHK,1176.0,2.0,2.0,50.0
11584,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1801.0,3.0,2.0,115.0
11585,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1315.0,2.0,3.0,55.0
11586,Plot  Area,Ready To Move,NRI Layout,2 Bedroom,2400.0,2.0,1.0,125.0
11587,Super built-up  Area,18-Mar,Uttarahalli,3 BHK,1308.0,2.0,3.0,53.0
11588,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,4250.0,4.0,2.0,610.0
11589,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1806.0,6.0,2.0,116.0
11590,Built-up  Area,17-Dec,Thanisandra,4 Bedroom,3671.0,4.0,1.0,220.0
11591,Super built-up  Area,Ready To Move,Hoodi,3 BHK,2144.0,3.0,2.0,140.0
11592,Built-up  Area,Ready To Move,Hoskote,2 BHK,1065.0,2.0,3.0,33.75
11593,Super built-up  Area,17-Oct,Balagere,2 BHK,1205.0,2.0,1.0,67.0
11594,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1160.0,2.0,2.0,40.58
11595,Plot  Area,Ready To Move,Kanaka Nagar,4 Bedroom,750.0,4.0,2.0,90.0
11596,Plot  Area,18-Jul,mvj engineering college,3 Bedroom,1200.0,3.0,1.0,56.53
11597,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1681.0,3.0,3.0,69.0
11598,Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,1130.0,2.0,1.0,32.64
11599,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3633.0,5.0,1.0,335.0
11600,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843.0,3.0,2.0,90.0
11601,Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,1065.0,2.0,1.0,30.75
11602,Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,1885.0,3.0,2.0,85.52
11603,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,1500.0,2.0,2.0,45.0
11604,Super built-up  Area,Ready To Move,Panathur,2 BHK,1210.0,2.0,2.0,69.0
11605,Super built-up  Area,Ready To Move,TC Palaya,2 BHK,1126.0,2.0,1.0,39.4
11606,Super built-up  Area,Ready To Move,Rayasandra,3 BHK,1357.0,2.0,2.0,59.0
11607,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1451.0,2.0,2.0,46.4
11608,Plot  Area,Ready To Move,Kodigehaali,4 Bedroom,1600.0,3.0,3.0,185.0
11609,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,950.0,2.0,1.0,55.0
11610,Built-up  Area,Ready To Move,Bellandur,2 BHK,960.0,2.0,2.0,48.0
11611,Super built-up  Area,Ready To Move,2nd Block Bel Layout,3 BHK,1625.0,3.0,3.0,92.0
11612,Plot  Area,18-May,Kaggalipura,3 Bedroom,2200.0,4.0,1.0,150.0
11613,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900.0,2.0,1.0,46.29
11614,Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,1080.0,2.0,2.0,38.0
11615,Super built-up  Area,Ready To Move,Cooke Town,3 BHK,2300.0,3.0,1.0,250.0
11616,Super built-up  Area,Ready To Move,Hosa Road,4 BHK,1708.0,3.0,0.0,64.05
11617,Built-up  Area,Ready To Move,Yeshwanthpur,6 Bedroom,2500.0,5.0,2.0,185.0
11618,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1690.0,2.0,2.0,116.0
11619,Built-up  Area,Ready To Move,RR Layout,5 Bedroom,2100.0,3.0,0.0,145.0
11620,Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1269.0,2.0,2.0,97.0
11621,Built-up  Area,Ready To Move,Haralur Road,3 BHK,1890.0,3.0,2.0,84.0
11622,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1165.0,2.0,1.0,33.64
11623,Super built-up  Area,Ready To Move,BTM Layout,2 BHK,1196.0,2.0,2.0,56.81
11624,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,1630.0,3.0,2.0,110.0
11625,Super built-up  Area,19-Apr,Whitefield,2 BHK,1063.0,2.0,1.0,42.52
11626,Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,1025.0,2.0,1.0,39.98
11627,Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,1067.0,2.0,1.0,38.0
11628,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1299.0,2.0,1.0,89.63
11629,Super built-up  Area,18-May,Panathur,2 BHK,1343.0,2.0,1.0,76.0
11630,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1330.0,2.0,2.0,44.0
11631,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1524.0,2.0,3.0,72.0
11632,Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,2236.0,4.0,2.0,153.0
11633,Super built-up  Area,Ready To Move,Domlur,3 BHK,2955.0,3.0,0.0,235.0
11634,Super built-up  Area,18-Mar,Raja Rajashweri Nagar,3 BHK,1410.0,2.0,2.0,45.12
11635,Super built-up  Area,Ready To Move,Balagere,2 BHK,1205.0,2.0,1.0,79.0
11636,Super built-up  Area,Ready To Move,Thyagaraja Nagar,3 BHK,1270.0,2.0,2.0,95.25
11637,Super built-up  Area,Ready To Move,VHBCS Layout,3 BHK,1353.0,2.0,2.0,110.0
11638,Plot  Area,18-Feb,Jinkethimmanahalli,2 Bedroom,1200.0,2.0,1.0,68.0
11639,Super built-up  Area,Ready To Move,basaveshwarnagar,3 BHK,1250.0,2.0,1.0,70.0
11640,Super built-up  Area,19-Mar,Gopalapura,3 BHK,1950.2,3.0,2.0,261.0
11641,Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,1157.0,2.0,1.0,69.0
11642,Super built-up  Area,19-Dec,Kanakapura,1 BHK,825.0,1.0,0.0,35.475
11643,Built-up  Area,18-Apr,Yelahanka,1 BHK,602.0,1.0,1.0,33.0
11644,Built-up  Area,Ready To Move,Malleshwaram,5 Bedroom,3000.0,4.0,0.0,900.0
11645,Super built-up  Area,21-Jul,Hoodi,2 BHK,1108.0,2.0,0.0,66.46
11646,Super built-up  Area,Ready To Move,Thyagaraja Nagar,2 BHK,1040.0,2.0,1.0,68.0
11647,Super built-up  Area,20-Dec,Sarjapur,2 BHK,1451.0,2.0,1.0,87.0
11648,Super built-up  Area,18-May,Kanakpura Road,1 BHK,850.0,1.0,1.0,37.32
11649,Super built-up  Area,19-Mar,Gopalapura,3 BHK,2171.66,3.0,2.0,298.0
11650,Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,900.0,2.0,1.0,40.0
11651,Super built-up  Area,Ready To Move,Kudlu,1 BHK,720.0,1.0,1.0,33.0
11652,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1573.0,3.0,2.0,115.0
11653,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1026.0,2.0,1.0,60.8
11654,Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1400.0,2.0,2.0,40.44
11655,Built-up  Area,Ready To Move,Banashankari Stage III,4 Bedroom,2100.0,3.0,1.0,147.0
11656,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1150.0,2.0,1.0,48.5
11657,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1500.0,3.0,2.0,88.0
11658,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2400.0,3.0,2.0,380.0
11659,Plot  Area,Ready To Move,HRBR Layout,3 Bedroom,1200.0,3.0,2.0,240.0
11660,Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,1125.0,2.0,2.0,75.0
11661,Super built-up  Area,18-Dec,Hennur,3 BHK,1830.5,3.0,0.0,84.205
11662,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1100.0,2.0,1.0,50.0
11663,Built-up  Area,Ready To Move,Banaswadi,2 BHK,1105.0,2.0,2.0,57.0
11664,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1110.0,2.0,2.0,46.5
11665,Super built-up  Area,Ready To Move,Dasanapura,1 BHK,708.0,1.0,1.0,41.0
11666,Super built-up  Area,18-May,"Banashankari 3rd stage, Vivekanandanagar",3 BHK,1600.0,3.0,1.0,100.0
11667,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122.0,6.0,2.0,250.0
11668,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1205.0,2.0,2.0,37.0
11669,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1450.0,2.0,2.0,73.0
11670,Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,750.0,4.0,2.0,125.0
11671,Plot  Area,Ready To Move,Annaiah Reddy Layout,1 Bedroom,540.0,1.0,0.0,22.0
11672,Built-up  Area,Ready To Move,Dasarahalli,2 BHK,1200.0,2.0,2.0,42.0
11673,Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,1200.0,5.0,1.0,260.0
11674,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1837.0,2.0,2.0,95.0
11675,Super built-up  Area,18-Dec,Whitefield,2 BHK,1346.0,2.0,1.0,76.01
11676,Built-up  Area,Ready To Move,Balagere,2 BHK,1012.0,2.0,1.0,68.0
11677,Super built-up  Area,18-Dec,Gopalapura,3 BHK,1950.2,3.0,2.0,193.0
11678,Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,1125.0,2.0,2.0,55.0
11679,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1500.0,2.0,2.0,60.0
11680,Super built-up  Area,Ready To Move,Harlur,2 BHK,1197.0,2.0,1.0,79.9
11681,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,1100.0,2.0,2.0,47.0
11682,Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,1563.0,2.0,2.0,52.0
11683,Plot  Area,Ready To Move,4th Block Jayanagar,7 Bedroom,2240.0,4.0,1.0,700.0
11684,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,3729.0,4.0,2.0,384.0
11685,Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,1600.0,3.0,1.0,120.0
11686,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1715.0,3.0,3.0,120.0
11687,Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,2400.0,4.0,1.0,180.0
11688,Super built-up  Area,18-Jul,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,42.5
11689,Plot  Area,Ready To Move,Banaswadi,6 Bedroom,1200.0,6.0,2.0,220.0
11690,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1123.0,2.0,2.0,60.0
11691,Super built-up  Area,20-Jan,Whitefield,2 BHK,1276.0,2.0,1.0,69.5
11692,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1315.0,2.0,3.0,77.0
11693,Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,1325.0,2.0,2.0,52.0
11694,Super built-up  Area,18-Apr,Varthur,3 BHK,1600.0,3.0,2.0,63.2
11695,Super built-up  Area,Ready To Move,Jakkur,3 BHK,1660.0,3.0,2.0,104.0
11696,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1299.0,2.0,3.0,58.0
11697,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,953.0,2.0,1.0,90.0
11698,Super built-up  Area,Ready To Move,Gunjur,2 BHK,1457.0,2.0,3.0,60.0
11699,Super built-up  Area,18-May,Varthur,2 BHK,1000.0,1.0,1.0,65.0
11700,Built-up  Area,Ready To Move,Mallasandra,3 BHK,1100.0,2.0,3.0,76.3
11701,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1075.0,2.0,1.0,33.53
11702,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450.0,3.0,3.0,51.0
11703,Super built-up  Area,Ready To Move,Iblur Village,5 BHK,5515.0,6.0,2.0,425.0
11704,Super built-up  Area,Ready To Move,Bellandur,1 BHK,950.0,1.0,1.0,40.0
11705,Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,1200.0,3.0,1.0,180.0
11706,Super built-up  Area,Ready To Move,Amam Enclave Layout,2 BHK,1013.0,2.0,2.0,60.0
11707,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1140.0,2.0,2.0,56.0
11708,Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2100.0,3.0,3.0,220.0
11709,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1430.0,3.0,1.0,61.0
11710,Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,600.0,3.0,0.0,95.0
11711,Carpet  Area,Ready To Move,Anantapura,3 BHK,1600.0,3.0,2.0,77.0
11712,Super built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,1190.0,2.0,1.0,48.0
11713,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1625.0,3.0,2.0,95.0
11714,Super built-up  Area,Ready To Move,Classic Paradise Layout,2 BHK,1210.0,2.0,2.0,53.0
11715,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1615.0,3.0,2.0,150.0
11716,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1180.0,2.0,2.0,85.0
11717,Plot  Area,Ready To Move,Nagasandra,2 Bedroom,1500.0,2.0,0.0,91.0
11718,Built-up  Area,Ready To Move,Bellandur,2 BHK,850.0,2.0,1.0,45.0
11719,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1130.0,2.0,2.0,55.0
11720,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,907.0,2.0,2.0,38.0
11721,Built-up  Area,Ready To Move,HRBR Layout,2 BHK,1300.0,2.0,3.0,90.0
11722,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891.0,3.0,1.0,110.0
11723,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1735.0,3.0,3.0,78.0
11724,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,33.0
11725,Built-up  Area,Ready To Move,Kumaraswami Layout,7 BHK,2040.0,4.0,3.0,123.0
11726,Plot  Area,Ready To Move,Jayanti Nagar,5 Bedroom,1600.0,5.0,2.0,140.0
11727,Built-up  Area,Ready To Move,Doddakammanahalli,2 BHK,1160.0,2.0,3.0,55.0
11728,Super built-up  Area,Ready To Move,Tasker Town,2 BHK,930.0,1.0,1.0,55.0
11729,Built-up  Area,Ready To Move,Devanahalli,2 BHK,1010.0,2.0,1.0,58.0
11730,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1221.0,2.0,2.0,68.0
11731,Plot  Area,Ready To Move,Banashankari,4 Bedroom,2400.0,4.0,3.0,470.0
11732,Super built-up  Area,22-Jun,Hoodi,2 BHK,1108.0,2.0,1.0,87.48
11733,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,1000.0,4.0,2.0,120.0
11734,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,1370.0,2.0,1.0,70.0
11735,Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,920.0,2.0,1.0,41.5
11736,Super built-up  Area,18-May,Bhoganhalli,2 BHK,1277.0,2.0,1.0,79.89
11737,Super built-up  Area,18-May,Horamavu Agara,2 BHK,1213.0,2.0,2.0,38.1
11738,Super built-up  Area,Ready To Move,Singasandra,3 BHK,1653.0,3.0,2.0,85.0
11739,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,2400.0,3.0,3.0,140.0
11740,Super built-up  Area,Ready To Move,1st Block Koramangala,4 BHK,3000.0,5.0,3.0,500.0
11741,Plot  Area,Ready To Move,Kothanur,4 Bedroom,1600.0,4.0,3.0,250.0
11742,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1321.0,2.0,0.0,40.0
11743,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570.0,3.0,2.0,68.0
11744,Built-up  Area,Ready To Move,Hessarghatta,8 Bedroom,1150.0,8.0,0.0,70.0
11745,Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,1053.0,2.0,3.0,44.0
11746,Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,1325.0,2.0,3.0,56.0
11747,Super built-up  Area,18-Nov,manyata,2 BHK,1169.0,2.0,1.0,50.11
11748,Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,1274.0,2.0,1.0,90.0
11749,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1317.0,2.0,2.0,52.0
11750,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1195.0,2.0,1.0,75.0
11751,Super built-up  Area,18-Nov,Whitefield,4 BHK,2858.0,4.0,0.0,137.0
